popularity,streams,year
86,1461333005,1990
64,10034100,1990
77,80483835,1990
58,5430544,1990
60,13697785,1990
73,38684350,1990
68,15909705,1990
73,40123593,1990
72,42037811,1990
75,57769479,1990
76,69921359,1990
3,9453,1990
78,71852014,1990
80,1056468514,1990
70,47302692,1990
82,1091956420,1990
63,14238288,1990
0,5081,1990
65,15777967,1990
69,25972406,1990
61,9134544,1990
67,16502569,1990
69,23208852,1990
68,20394796,1990
70,44556598,1990
76,96113199,1990
64,10620983,1990
62,12223955,1990
66,21989581,1990
68,20614901,1990
66,17719003,1990
0,8111,1990
69,20601184,1990
71,30979414,1990
71,42831464,1990
79,70914403,1990
56,5525862,1990
70,32961669,1990
64,12341514,1990
62,10269948,1990
46,6252807,1990
58,6373764,1990
61,11723799,1990
62,10054151,1990
70,45392860,1990
58,5945307,1990
60,9251874,1990
58,6436960,1990
68,27159014,1990
64,12668472,1990
56,6959939,1990
64,12186383,1990
75,78431615,1990
63,13913082,1990
59,6004769,1990
66,28561359,1990
64,13760253,1990
68,17641537,1990
0,5842,1990
57,7049889,1990
63,10895553,1990
71,46121534,1990
64,14279890,1990
57,5375005,1990
53,4584965,1990
68,21387572,1990
49,3245850,1990
63,9877137,1990
60,14010641,1990
55,7689128,1990
61,10551984,1990
63,11478505,1990
71,42262216,1990
53,5897125,1990
54,5276223,1990
58,5508240,1990
59,7329182,1990
55,5906556,1990
66,21320587,1990
56,5504347,1990
63,13110800,1990
51,5466159,1990
58,5552519,1990
1,10172,1990
61,14824198,1990
54,4916893,1990
61,13152397,1990
59,5904189,1990
71,39208935,1990
58,6036397,1990
64,8782961,1990
72,46845649,1990
56,5019825,1990
61,8650728,1990
69,28118610,1990
56,6956116,1990
71,39301392,1990
70,48623379,1990
56,6653999,1990
61,10789350,1990
59,6580851,1990
58,5978514,1990
55,5341773,1990
59,5364446,1990
76,74338320,1990
0,9832,1990
41,860101,1990
50,5641715,1990
73,39547587,1990
35,615991,1990
1,14455,1990
51,5244436,1990
55,7536095,1990
59,6047604,1990
58,6240189,1990
51,4100546,1990
59,7646317,1990
64,8520508,1990
56,7382089,1990
63,12107824,1990
74,38081747,1990
64,14236476,1990
61,11249379,1990
61,10098932,1990
53,4492933,1990
50,5794941,1990
46,5959174,1990
69,19895615,1990
60,13844536,1990
55,6032629,1990
64,9466361,1990
61,11507275,1990
64,10251981,1990
56,5851654,1990
63,10952527,1990
47,4184428,1990
51,4205753,1990
47,3337645,1990
65,26569984,1990
66,20466594,1990
67,26292730,1990
59,5747463,1990
55,5108395,1990
64,11867459,1990
62,9878026,1990
60,13617440,1990
61,8258658,1990
51,5804414,1990
56,7427308,1990
38,545818,1990
51,4317754,1990
69,28060578,1990
46,6313624,1990
51,4422920,1990
58,6639071,1990
53,4238559,1990
52,5667391,1990
47,5567491,1990
63,12023240,1990
55,6643392,1990
62,12161541,1990
51,5072314,1990
70,35634746,1990
54,4407042,1990
68,17069144,1990
50,4768237,1990
65,18756738,1990
51,4888259,1990
50,4050764,1990
0,14064,1990
58,6951406,1990
62,14384141,1990
51,5607964,1990
54,4055916,1990
32,327579,1990
64,8496130,1990
51,4091939,1990
57,7410301,1990
52,4510884,1990
43,1081180,1990
55,7115524,1990
55,7901645,1990
31,348700,1990
55,5559200,1990
59,6271536,1990
71,39835176,1990
54,5432909,1990
58,6607952,1990
46,4181089,1990
48,5526692,1990
55,5194067,1990
47,5887799,1990
0,7381,1990
56,7422829,1990
44,1281138,1990
64,12947693,1990
56,5633648,1990
52,5913440,1990
55,5452806,1990
56,6329014,1990
80,907490237,1991
2,9171,1991
87,1573505876,1991
79,85096667,1991
17,75938,1991
80,920018252,1991
87,1658534459,1991
82,1074573398,1991
73,43352418,1991
78,93601119,1991
69,22440633,1991
81,1000737983,1991
71,35538730,1991
74,41807475,1991
0,6645,1991
70,30488146,1991
76,71940981,1991
76,86363817,1991
0,9370,1991
75,51447414,1991
71,31289247,1991
0,8113,1991
64,12903014,1991
71,40425250,1991
71,40915673,1991
67,23734403,1991
66,28097634,1991
74,35570786,1991
65,20129956,1991
77,56311423,1991
73,40711466,1991
75,90438743,1991
72,46889235,1991
68,26243611,1991
79,60186996,1991
63,8604018,1991
0,9913,1991
59,6125497,1991
62,10083378,1991
67,28899902,1991
72,32229064,1991
60,9686577,1991
64,9415625,1991
59,5410941,1991
80,1009525200,1991
60,9050291,1991
56,6708509,1991
66,21442628,1991
75,60788509,1991
68,22772318,1991
57,5906028,1991
67,29777760,1991
54,4286727,1991
68,17959558,1991
64,11289896,1991
65,15487364,1991
72,36117928,1991
66,23782319,1991
0,12396,1991
63,11765143,1991
65,24151404,1991
61,13215593,1991
67,18833602,1991
66,15244808,1991
65,17936719,1991
14,47285,1991
71,35724219,1991
72,40082097,1991
59,5728803,1991
77,62255608,1991
59,6967443,1991
70,39552462,1991
65,19366394,1991
77,54941925,1991
70,40334273,1991
62,14335288,1991
64,11599724,1991
67,23848005,1991
61,11995589,1991
0,13574,1991
64,10661433,1991
54,4526794,1991
55,5991971,1991
62,13079065,1991
66,25622542,1991
73,38571901,1991
69,28728635,1991
44,1008627,1991
57,7570401,1991
61,12226661,1991
54,5125990,1991
53,4462788,1991
60,14572388,1991
70,49594158,1991
60,10735830,1991
0,11508,1991
58,5476453,1991
71,46792208,1991
59,6189665,1991
57,6907162,1991
67,27442698,1991
58,6515571,1991
55,6272582,1991
64,11250375,1991
57,6091859,1991
57,7153874,1991
62,12071251,1991
55,6845948,1991
54,5848200,1991
60,13195005,1991
65,23296642,1991
56,6168011,1991
56,6276695,1991
73,32813639,1991
67,28555124,1991
61,10736000,1991
66,19193182,1991
62,13253485,1991
63,13978131,1991
63,9672151,1991
69,20608957,1991
51,5396094,1991
64,13639385,1991
57,6230243,1991
66,29302244,1991
61,9001458,1991
57,7200967,1991
63,12963982,1991
55,7096709,1991
56,5974325,1991
60,8173029,1991
62,9767759,1991
62,9014256,1991
0,9513,1991
0,11213,1991
62,11101095,1991
76,97724828,1991
66,20342771,1991
71,35110374,1991
0,8123,1991
38,726116,1991
66,23115125,1991
57,7329191,1991
58,7204891,1991
63,14785939,1991
51,5291700,1991
70,36637363,1991
55,7708032,1991
73,34050393,1991
69,24446146,1991
61,14422604,1991
63,13681531,1991
0,5976,1991
52,4770296,1991
0,10135,1991
61,9172116,1991
44,1266708,1991
57,6088484,1991
59,7926537,1991
11,33370,1991
51,5877018,1991
47,5798340,1991
64,11247543,1991
0,7445,1991
53,5369537,1991
62,12590883,1991
54,4956240,1991
66,20573186,1991
72,32212640,1991
57,7648759,1991
0,7807,1991
53,5051047,1991
0,13616,1991
60,9322599,1991
57,6959419,1991
52,4045113,1991
51,4349364,1991
56,7969767,1991
50,5883272,1991
61,11114383,1991
57,7073231,1991
0,7795,1991
0,11660,1991
60,12958250,1991
0,11708,1991
47,4846816,1991
52,4032623,1991
51,4222237,1991
0,5698,1991
50,5757189,1991
0,12333,1991
67,20238817,1991
65,28205538,1991
67,23036601,1991
0,5890,1991
64,8188818,1991
51,4319534,1991
58,5282307,1991
55,5846798,1991
52,4201983,1991
52,5870623,1992
84,1155880840,1992
82,963744126,1992
78,50130140,1992
84,1107519424,1992
75,57436782,1992
73,34489206,1992
78,52875063,1992
71,49046560,1992
6,26977,1992
77,59371120,1992
80,844991530,1992
2,6966,1992
60,9352450,1992
72,30404506,1992
71,38428689,1992
71,46918655,1992
78,97544681,1992
69,24442566,1992
