popularity,streams
86,1461333005
64,10034100
77,80483835
58,5430544
60,13697785
73,38684350
68,15909705
73,40123593
72,42037811
75,57769479
76,69921359
3,9453
78,71852014
80,1056468514
70,47302692
82,1091956420
63,14238288
0,5081
65,15777967
69,25972406
61,9134544
67,16502569
69,23208852
68,20394796
70,44556598
76,96113199
64,10620983
62,12223955
66,21989581
68,20614901
66,17719003
0,8111
69,20601184
71,30979414
71,42831464
79,70914403
56,5525862
70,32961669
64,12341514
62,10269948
46,6252807
58,6373764
61,11723799
62,10054151
70,45392860
58,5945307
60,9251874
58,6436960
68,27159014
64,12668472
56,6959939
64,12186383
75,78431615
63,13913082
59,6004769
66,28561359
64,13760253
68,17641537
0,5842
57,7049889
63,10895553
71,46121534
64,14279890
57,5375005
53,4584965
68,21387572
49,3245850
63,9877137
60,14010641
55,7689128
61,10551984
63,11478505
71,42262216
53,5897125
54,5276223
58,5508240
59,7329182
55,5906556
66,21320587
56,5504347
63,13110800
51,5466159
58,5552519
1,10172
61,14824198
54,4916893
61,13152397
59,5904189
71,39208935
58,6036397
64,8782961
72,46845649
56,5019825
61,8650728
69,28118610
56,6956116
71,39301392
70,48623379
56,6653999
61,10789350
59,6580851
58,5978514
55,5341773
59,5364446
76,74338320
0,9832
41,860101
50,5641715
73,39547587
35,615991
1,14455
51,5244436
55,7536095
59,6047604
58,6240189
51,4100546
59,7646317
64,8520508
56,7382089
63,12107824
74,38081747
64,14236476
61,11249379
61,10098932
53,4492933
50,5794941
46,5959174
69,19895615
60,13844536
55,6032629
64,9466361
61,11507275
64,10251981
56,5851654
63,10952527
47,4184428
51,4205753
47,3337645
65,26569984
66,20466594
67,26292730
59,5747463
55,5108395
64,11867459
62,9878026
60,13617440
61,8258658
51,5804414
56,7427308
38,545818
51,4317754
69,28060578
46,6313624
51,4422920
58,6639071
53,4238559
52,5667391
47,5567491
63,12023240
55,6643392
62,12161541
51,5072314
70,35634746
54,4407042
68,17069144
50,4768237
65,18756738
51,4888259
50,4050764
0,14064
58,6951406
62,14384141
51,5607964
54,4055916
32,327579
64,8496130
51,4091939
57,7410301
52,4510884
43,1081180
55,7115524
55,7901645
31,348700
55,5559200
59,6271536
71,39835176
54,5432909
58,6607952
46,4181089
48,5526692
55,5194067
47,5887799
0,7381
56,7422829
44,1281138
64,12947693
56,5633648
52,5913440
55,5452806
56,6329014
80,907490237
2,9171
87,1573505876
79,85096667
17,75938
80,920018252
87,1658534459
82,1074573398
73,43352418
78,93601119
69,22440633
81,1000737983
71,35538730
74,41807475
0,6645
70,30488146
76,71940981
76,86363817
0,9370
75,51447414
71,31289247
0,8113
64,12903014
71,40425250
71,40915673
67,23734403
66,28097634
74,35570786
65,20129956
77,56311423
73,40711466
75,90438743
72,46889235
68,26243611
79,60186996
63,8604018
0,9913
59,6125497
62,10083378
67,28899902
72,32229064
60,9686577
64,9415625
59,5410941
80,1009525200
60,9050291
56,6708509
66,21442628
75,60788509
68,22772318
57,5906028
67,29777760
54,4286727
68,17959558
64,11289896
65,15487364
72,36117928
66,23782319
0,12396
63,11765143
65,24151404
61,13215593
67,18833602
66,15244808
65,17936719
14,47285
71,35724219
72,40082097
59,5728803
77,62255608
59,6967443
70,39552462
65,19366394
77,54941925
70,40334273
62,14335288
64,11599724
67,23848005
61,11995589
0,13574
64,10661433
54,4526794
55,5991971
62,13079065
66,25622542
73,38571901
69,28728635
44,1008627
57,7570401
61,12226661
54,5125990
53,4462788
60,14572388
70,49594158
60,10735830
0,11508
58,5476453
71,46792208
59,6189665
57,6907162
67,27442698
58,6515571
55,6272582
64,11250375
57,6091859
57,7153874
62,12071251
55,6845948
54,5848200
60,13195005
65,23296642
56,6168011
56,6276695
73,32813639
67,28555124
61,10736000
66,19193182
62,13253485
63,13978131
63,9672151
69,20608957
51,5396094
64,13639385
57,6230243
66,29302244
61,9001458
57,7200967
63,12963982
55,7096709
56,5974325
60,8173029
62,9767759
62,9014256
0,9513
0,11213
62,11101095
76,97724828
66,20342771
71,35110374
0,8123
38,726116
66,23115125
57,7329191
58,7204891
63,14785939
51,5291700
70,36637363
55,7708032
73,34050393
69,24446146
61,14422604
63,13681531
0,5976
52,4770296
0,10135
61,9172116
44,1266708
57,6088484
59,7926537
11,33370
51,5877018
47,5798340
64,11247543
0,7445
53,5369537
62,12590883
54,4956240
66,20573186
72,32212640
57,7648759
0,7807
53,5051047
0,13616
60,9322599
57,6959419
52,4045113
51,4349364
56,7969767
50,5883272
61,11114383
57,7073231
0,7795
0,11660
60,12958250
0,11708
47,4846816
52,4032623
51,4222237
0,5698
50,5757189
0,12333
67,20238817
65,28205538
67,23036601
0,5890
64,8188818
51,4319534
58,5282307
55,5846798
52,4201983
52,5870623
84,1155880840
82,963744126
78,50130140
84,1107519424
75,57436782
73,34489206
78,52875063
71,49046560
6,26977
77,59371120
80,844991530
2,6966
60,9352450
72,30404506
71,38428689
71,46918655
78,97544681
69,24442566
71,49775907
66,24095768
73,31829132
56,5203956
81,1114906600
73,42394087
76,93658851
67,26617822
64,12102854
69,20202614
68,26544198
66,17431803
65,18981422
63,14075789
75,74902277
77,69948303
56,5168442
70,39670143
72,43650488
70,45401849
10,38454
64,14059206
73,48912394
63,10386422
62,8849010
57,7270294
6,18085
68,25984281
63,10632753
0,14731
4,5388
61,12528777
61,11073530
65,16724686
62,8243661
62,11075616
70,34100017
68,27472570
68,24546168
65,28467584
59,7327212
61,8207320
60,8000901
65,17260988
63,13655145
62,13111530
71,37292411
61,10105814
63,10287738
60,8232004
76,75190548
67,15743600
61,11474827
66,28809556
57,5211243
56,5958587
1,11140
69,17440871
69,23909711
55,6151285
65,23360526
62,13721063
60,9819522
59,6479441
61,9565889
58,6160712
62,8306117
58,7087884
60,14484904
63,10972088
59,6311146
67,17567098
66,27614082
5,19944
49,5266877
0,10755
57,6603424
54,5656215
0,6554
58,6283754
57,6028879
63,8314311
62,14394822
60,11739688
71,46360577
66,17476815
72,30231928
56,7480287
52,5353758
58,7567966
64,9467053
62,10123921
58,7178220
64,13988175
72,46619819
69,29755779
43,1361389
54,5146474
57,7378991
50,5944044
2,6616
64,12472631
49,4456988
61,11026145
64,11172978
59,7082857
66,27546339
53,5854821
64,10945607
68,20035308
67,24581274
60,8489527
65,24046701
53,4200156
57,7569018
62,9365312
52,4394397
62,8996736
64,12198618
1,12247
60,13399119
66,21597594
64,9933351
53,4751594
67,18362091
69,21779771
60,11280396
63,13446148
54,4899479
57,5575779
61,8472429
65,25462099
65,27177386
57,5120350
50,5129998
59,7322119
71,32752392
65,15861648
63,11295069
27,288811
54,5166529
75,82921490
60,10849824
47,5764863
62,10260600
52,4664071
53,5060904
44,1238377
49,5692674
0,8799
58,7166381
68,28839287
62,9965736
53,4448332
66,27276233
67,21206528
50,5849182
56,7560866
57,6079281
56,5383818
49,6570901
49,4515643
52,5565227
0,8601
67,21471773
65,27513983
56,6886488
55,5508325
55,7455685
68,16364509
52,4967569
57,5272873
0,6651
62,9683873
60,11179910
63,8551019
49,5127772
64,13792162
53,5487231
70,44270815
54,4161680
1,6153
81,888880241
82,821686586
1,13563
78,50671773
84,1126716548
62,14498016
82,1036631295
81,1068322948
73,46369314
80,1182999712
67,19261721
72,34309245
73,37289358
67,15405321
71,44129724
69,20638095
78,58004238
1,12471
76,98437394
73,30327903
72,44837550
76,51597706
0,6119
73,32926513
77,55210813
71,30967509
66,29874113
73,38113863
71,49589280
75,93103013
68,16875728
77,59064512
74,40230424
14,30944
72,49214052
69,27689171
10,34635
68,28079570
56,7826887
0,13294
67,15021477
0,11735
65,19325658
63,13921623
72,33737330
70,49201027
59,5083937
63,9904642
64,8246771
63,9615592
76,83265521
70,41493833
67,25594995
63,11926928
59,7200195
64,11687850
66,29392636
78,95011168
56,7653225
78,56169716
56,5803471
60,14347800
59,7243253
67,16349819
76,83644828
72,42249963
63,10466749
61,11401252
73,37458642
73,33466661
69,19913645
62,10803172
57,7795179
67,28210156
57,7290589
64,11589056
72,36532942
56,6804780
53,5457771
0,12308
61,10128329
0,10943
63,11081743
69,22394368
66,15327803
58,6419732
63,10804624
72,47641227
80,1171390352
63,8982467
71,41251333
62,11975602
63,14421347
74,32341722
70,43112099
75,58387221
68,19900161
63,14527020
59,5235808
60,12644918
63,14552209
59,7459051
61,8686775
53,5994132
0,14514
58,7050145
58,7588531
58,5761921
64,13931432
59,6798185
0,12945
61,8147439
48,4415648
58,5048097
75,67668654
64,9810970
58,5383323
66,22491901
58,7698873
72,32509204
63,12720067
68,15553822
71,37407021
0,10714
64,11679828
59,7536573
52,5785872
46,3621178
12,47634
57,6461270
53,4744605
68,16598892
54,4017932
57,6892666
45,6589720
65,28166297
62,8913472
55,6910819
49,6885337
65,20167840
62,9713157
68,16624890
55,7225620
61,13011673
66,29718568
54,4318323
66,22383420
64,9904173
54,4246167
68,19662578
66,23109775
59,5590155
52,5191002
54,4784850
0,6130
57,7838831
53,4725416
59,7156033
60,10088812
46,4014904
56,7443200
67,20474174
61,14245627
46,6556477
49,3149059
63,10194325
0,13347
52,4264618
61,11224413
56,5787667
54,5125095
65,27220710
56,7341875
0,13559
51,4820142
67,19058919
65,16722756
53,5039370
0,12786
51,4233062
5,28938
65,20042027
64,9486778
73,38492606
53,4881921
0,13432
48,3748950
46,6393844
66,15544791
63,12939308
34,322381
52,5748957
55,6654383
65,18718933
63,14435701
60,14549408
55,5461448
63,10082547
61,9547719
81,852328412
67,16066600
67,25051404
78,65046771
3,9244
84,1148845943
80,961489273
73,48155400
78,66715933
83,1128882956
70,48701556
77,62570601
82,1159026518
74,46438266
77,68122150
78,79626816
77,98996993
3,11190
72,41115392
77,58427343
0,12600
70,47498975
70,45595850
68,21867357
66,22169666
72,39348849
71,37565589
78,91259400
74,42242740
56,6863034
71,37813071
72,34631529
71,36442375
61,12074381
64,14062088
70,30090569
66,23587274
